RecordId	Clusternum
84	0
8	0
44	0
53	1
59	1
66	2
99	2
20	2
87	2
27	2
30	2
2	3
68	3
72	3
1	4
97	4
103	4
32	4
34	5
100	5
85	5
73	5
94	5
36	6
80	6
18	7
3	7
83	7
70	7
54	7
88	7
41	7
9	7
45	7
64	7
33	8
19	8
4	8
102	8
23	8
89	8
25	8
58	8
92	8
28	8
31	8
7	9
48	9
81	10
47	10
104	11
42	11
50	12
51	12
86	12
57	12
60	12
14	12
6	13
75	13
11	13
15	13
10	14
93	14
35	15
101	15
71	15
40	15
91	15
13	15
29	15
65	16
49	16
98	16
82	16
21	16
24	16
26	16
17	17
67	17
16	17
69	18
22	18
79	18
52	19
56	19
90	19
43	19
96	19
39	20
95	20
5	21
37	21
55	21
76	21
12	21
78	21
46	21
62	21
38	22
74	22
77	22
61	23
63	23
